model,layer,head,delta_half_a,delta_half_b,delta_pooled,cos_self_half_a,cos_self,cos_self_half_b,cos_null_half_a,cos_null,cos_null_half_b,excess_half_a,excess,excess_half_b
gpt2,0,0,0.008705439530019454,0.007004625215305538,0.007855032372662496,0.5262736990293386,0.5262736990293386,0.5361260559203817,0.5359369784345717,0.5359369784345717,0.5424409701507024,-0.009663279405233038,-0.009663279405233038,-0.006314914230320712
gpt2,0,1,0.20396267147514724,0.1843636580339565,0.19416316475455186,0.9955912432963336,0.9955912432963336,0.9949695014424152,0.23344876464903644,0.23344876464903644,0.2246345047955523,0.7621424786472972,0.7621424786472972,0.7703349966468629
gpt2,0,2,0.004240261288139813,0.0018997793122537132,0.003070020300196763,0.5497704068931574,0.5497704068931574,0.5529261061769553,0.4963465951634034,0.4963465951634034,0.4900170360607879,0.05342381172975397,0.05342381172975397,0.06290907011616736
gpt2,0,3,0.08861824095718518,0.07772082231176203,0.0831695316344736,0.9796465362919913,0.9796465362919913,0.9709566375366724,0.38274415835410447,0.38274415835410447,0.37099416424563125,0.5969023779378868,0.5969023779378868,0.5999624732910411
gpt2,0,4,0.008659783310777769,0.016658512626107402,0.012659147968442586,0.8679202508685953,0.8679202508685953,0.8610642229976107,0.23864903888055838,0.23864903888055838,0.21986811390418168,0.6292712119880368,0.6292712119880368,0.641196109093429
gpt2,0,5,0.47598290631151574,0.43387970210998983,0.4549313042107528,0.9691275340013616,0.9691275340013616,0.9715435733710687,0.39193735412058817,0.39193735412058817,0.38402267763262005,0.5771901798807735,0.5771901798807735,0.5875208957384486
gpt2,0,6,-8.122001107313537e-05,0.0025728481022389005,0.0012458140455828826,0.24122950089877945,0.24122950089877945,0.23864392783053565,0.19440708156963324,0.19440708156963324,0.20329490792622967,0.046822419329146214,0.046822419329146214,0.03534901990430597
gpt2,0,7,0.01160821389025557,0.01753102700541298,0.014569620447834275,0.5025074260054637,0.5025074260054637,0.48472400991842524,0.28889120681408864,0.28889120681408864,0.2837666900482695,0.21361621919137508,0.21361621919137508,0.20095731987015575
gpt2,0,8,-0.007045956108513884,-0.01020128144992638,-0.008623618779220132,0.5236971148373571,0.5236971148373571,0.5254518248149892,0.37766397283494063,0.37766397283494063,0.36853164790282217,0.14603314200241652,0.14603314200241652,0.15692017691216703
gpt2,0,9,0.023340420460137956,0.02197962483083149,0.022660022645484723,0.5304736451337159,0.5304736451337159,0.53043084207568,0.5034239367743676,0.5034239367743676,0.4999139012323263,0.02704970835934828,0.02704970835934828,0.030516940843353713
gpt2,0,10,0.059547724686269454,0.04984842135211576,0.054698073019192606,0.7285416639926954,0.7285416639926954,0.7319485168027743,0.4257387720323788,0.4257387720323788,0.426471222898209,0.30280289196031657,0.30280289196031657,0.3054772939045653
gpt2,0,11,-0.005693090243602761,-0.0035691148652805538,-0.004631102554441657,0.42798008768026136,0.42798008768026136,0.4359407112623966,0.44805302086392695,0.44805302086392695,0.4557828742499946,-0.020072933183665598,-0.020072933183665598,-0.019842162987598
gpt2,1,0,0.011056013933316677,0.015523114542323135,0.013289564237819906,0.5446020586486994,0.5446020586486994,0.5392246783666752,0.4126263173942946,0.4126263173942946,0.4083769972632982,0.13197574125440475,0.13197574125440475,0.13084768110337702
gpt2,1,1,0.008187361589566677,0.014026792030635171,0.011107076810100924,0.5862187198305954,0.5862187198305954,0.5891630093647109,0.48181207116911495,0.48181207116911495,0.48525292272370774,0.10440664866148042,0.10440664866148042,0.10391008664100315
gpt2,1,2,0.014964186300442606,0.020495317113681466,0.017729751707062036,0.850442411834979,0.850442411834979,0.8489910651369141,0.600374755891347,0.600374755891347,0.6010068006410147,0.250067655943632,0.250067655943632,0.2479842644958994
gpt2,1,3,0.0566882035863685,0.060073492095225944,0.05838084784079722,0.8747237022438152,0.8747237022438152,0.8739936291863482,0.8095489426710327,0.8095489426710327,0.8089966416270948,0.06517475957278251,0.06517475957278251,0.06499698755925332
gpt2,1,4,0.016991803026574992,0.01898169329785926,0.017986748162217125,0.6934482101607686,0.6934482101607686,0.6865803940811994,0.5967131748045756,0.5967131748045756,0.5880151473683234,0.09673503535619299,0.09673503535619299,0.09856524671287603
gpt2,1,5,0.010114534633365757,0.016367514302411124,0.01324102446788844,0.6505907595538724,0.6505907595538724,0.6369389988573435,0.3083989531321003,0.3083989531321003,0.3209176403791288,0.34219180642177205,0.34219180642177205,0.3160213584782147
gpt2,1,6,-0.00047338290477405565,0.00420902282234259,0.001867819958784267,0.5465631067579705,0.5465631067579705,0.5389824035285521,0.39226572113232855,0.39226572113232855,0.390808436768566,0.15429738562564194,0.15429738562564194,0.14817396675998606
