model,layer,head,delta_half_a,delta_half_b,delta_pooled,cos_self,cos_null,excess
gpt2,0,0,0.009268816779641753,0.0043254179113048075,0.00679711734547328,0.527111840810405,0.536988533659003,-0.009876692848598045
gpt2,0,1,0.205003177418428,0.18228598201976087,0.19364457971909443,0.995550165151465,0.22807657622093516,0.7674735889305299
gpt2,0,2,0.004390043370864127,0.0024773092830878696,0.0034336763269759984,0.5509295832448482,0.49102373940467414,0.059905843840174056
gpt2,0,3,0.0919036865234375,0.0732287238625915,0.0825662051930145,0.9794096233445624,0.37450949493071933,0.6049001284138431
gpt2,0,4,0.010727826286764497,0.013128392836626812,0.011928109561695655,0.8676334163666231,0.23441331587073014,0.633220100495893
gpt2,0,5,0.497147952809053,0.44989821490119475,0.47352308385512387,0.9682449101648458,0.3850065905310437,0.5832383196338021
gpt2,0,6,0.00433574003331838,0.0017834831686580621,0.0030596116009882213,0.2407219781831115,0.18454298710264205,0.05617899108046945
gpt2,0,7,0.013059728285846006,0.012128044577205621,0.012593886431525814,0.5017791727582134,0.2784967250455197,0.22328244771269368
gpt2,0,8,-0.006550508386948373,-0.010862462660845562,-0.008706485523896967,0.5238211945353041,0.3771922127374602,0.1466289817978439
gpt2,0,9,0.027265212115120008,0.0207977294921875,0.024031470803653754,0.5301869382978319,0.49613136886671994,0.03405556943111199
gpt2,0,10,0.061064776252298,0.04762582217945788,0.05434529921587794,0.7285273050673662,0.42893368480895405,0.29959362025841213
gpt2,0,11,-0.008729373707490495,-0.006633534150965126,-0.0076814539292278106,0.43089152639833417,0.4502759153317082,-0.01938438893337402
gpt2,1,0,0.007788714240579253,0.0061250574448528106,0.006956885842716032,0.5429019236340279,0.4104394966017516,0.1324624270322763
gpt2,1,1,0.006724638097426627,0.008642308852251812,0.00768347347483922,0.5834069608931981,0.47086891737320213,0.11253804351999597
gpt2,1,2,0.01636998793658062,0.01572193818933787,0.016045963062959245,0.8470859514912744,0.6013946422994235,0.2456913091918509
gpt2,1,3,0.05285824046415488,0.048936282887177995,0.05089726167566644,0.8714367086478674,0.8121131741688313,0.059323534479036044
gpt2,1,4,0.017864002900965126,0.014363008386948373,0.01611350564395675,0.6915894541410071,0.5843655978646091,0.10722385627639808
gpt2,1,5,0.013802921070771745,0.01092304902918162,0.012362985049976682,0.650073562447313,0.3028236262344337,0.34724993621287925
gpt2,1,6,0.0019517786362595047,-0.0020594877355240016,-5.385454963224845e-05,0.5475191825854542,0.39307198354923484,0.15444719903621934
gpt2,1,7,-0.011900060317095118,-0.015316233915441124,-0.013608147116268121,0.43518184928648695,0.3883398357052891,0.04684201358119783
gpt2,1,8,-0.001249425551470118,0.0002863266888786242,-0.0004815494312957469,0.4002066204895313,0.46333508113799754,-0.06312846064846622
gpt2,1,9,0.0038972742417282547,0.005538042853860059,0.004717658547794157,0.3931146722003605,0.4931014465230285,-0.099986774322668
gpt2,1,10,-0.0006422155043654953,0.0028596765854778106,0.0011087305405561576,0.843648941228714,0.6927172084204372,0.15093173280827687
gpt2,1,11,0.016891928280101,0.015854779411764497,0.016373353845932748,0.9764980957021608,0.3479998619160587,0.6284982337861021
gpt2,2,0,0.017681795008042123,0.01946168787339131,0.018571741440716716,0.6300667852594737,0.5687301051597494,0.06133668009972426
gpt2,2,1,0.0030333575080421227,0.0004788567038143121,0.0017561071059282174,0.38052287216306563,0.31908103692068623,0.061441835242379395
gpt2,2,2,0.004306568818933876,0.006371890797334245,0.0053392298081340606,0.39457369803838477,0.3090357773295438,0.08553792070884098
gpt2,2,3,0.011615528779871376,0.006682452033547559,0.009148990406709467,0.609556292053586,0.5223340410936063,0.08722225095997971
gpt2,2,4,-0.0023969762465529953,-0.00142669677734375,-0.0019118365119483727,0.4771453637495276,0.44220159190978175,0.03494377183974584
gpt2,2,5,0.008784574620864127,0.010185690487132248,0.009485132553998188,0.5514624284816605,0.4564943113602888,0.09496811712137171
gpt2,2,6,-0.010691025677848742,-0.011449926039751812,-0.011070475858800277,0.6571801784602405,0.5847958682990044,0.07238431016123603
gpt2,2,7,0.007979000315947005,0.007594837861902626,0.007786919088924815,0.7246438922045533,0.4518058831063406,0.27283800909821265
gpt2,2,8,0.0009114882525276258,0.0006911333869483727,0.0008013108197379992,0.5667051708399359,0.5173400249981877,0.049365145841748226
gpt2,2,9,0.047572865205652626,0.04169015323414538,0.044631509219899,0.580166726219057,0.48625634859512074,0.09391037762393623
gpt2,2,10,0.014722038717830621,0.014548357795266309,0.014635198256548465,0.7887690008570002,0.5878562952103453,0.20091270564665487
gpt2,2,11,0.02413671156939312,0.017441693474264497,0.02078920252182881,0.8679134669604108,0.7376691272003635,0.13024433976004735
gpt2,3,0,0.0026967665728401258,0.0017650828642001848,0.0022309247185201553,0.6360702219650889,0.37027641663788097,0.2657938053272079
gpt2,3,1,0.006878123563878624,0.0009577134076286242,0.003917918485753624,0.46424132481966834,0.3871337212639837,0.07710760355568463
gpt2,3,2,0.00943756103515625,0.004716760971966938,0.007077161003561594,0.5012144155192038,0.39105588757759285,0.1101585279416109
gpt2,3,3,0.007639716653263129,0.004458259133731435,0.006048987893497282,0.38795461626506017,0.28483827997302896,0.10311633629203121
gpt2,3,4,0.0075077730066634984,0.0037725112017463758,0.005640142104204937,0.4938067691648886,0.3959041266426164,0.09790264252227215
gpt2,3,5,0.0008464140050552516,0.0008123061236213758,0.0008293600643383137,0.3741908239039463,0.25392492294710384,0.12026590095684248
gpt2,3,6,0.007782879997701997,0.00545501708984375,0.0066189485437728734,0.5604285947259534,0.40373106142431636,0.15669753330163705
gpt2,3,7,0.006901460535385873,2.5132123161686337e-05,0.0034632963292737795,0.5092635545631699,0.4071528679144863,0.10211068664868356
gpt2,3,8,0.006343168370864127,0.005388596478630436,0.005865882424747282,0.4895623473980426,0.41303068215764893,0.07653166524039368
gpt2,3,9,0.0015240837545960062,0.00021855971392437112,0.0008713217342601887,0.43308494801223857,0.3227383704693138,0.11034657754292476
gpt2,3,10,0.007368199965533506,0.0036966660443473742,0.00553243300494044,0.7634655644000946,0.21666902417953865,0.5467965402205559
gpt2,3,11,-0.009273753446691124,-0.007029365090763129,-0.008151559268727127,0.5361995209309766,0.44705285807197015,0.08914666285900641
gpt2,4,0,0.0016959695255058804,-0.00035992790670968944,0.0006680208093980955,0.31928412125281747,0.23459490165402072,0.08468921959879674
gpt2,4,1,0.0024602553423713758,0.00038191851447599845,0.0014210869284236871,0.4104110875693737,0.28104551648971626,0.12936557107965746
gpt2,4,2,0.00173187255859375,0.0021169325884651258,0.0019244025735294379,0.29890402888888196,0.2499876325323769,0.04891639635650505
gpt2,4,3,0.005617029526654882,0.002797295065486871,0.0042071622960708766,0.46357595444858896,0.2976152147374478,0.16596073971114117
gpt2,4,4,0.0032438390395217453,0.0014338773839610575,0.0023388582117414014,0.49307175154803967,0.15382216563898657,0.3392495859090531
gpt2,4,5,-0.0005367503446693789,0.00010591394761005901,-0.00021541819852965993,0.3552599805863775,0.22366357885145677,0.1315964017349207
gpt2,4,6,0.00626597684972463,0.002604316262637685,0.004435146556181158,0.36571424593913093,0.18620203766649474,0.1795122082726362
gpt2,4,7,0.006161409265854623,0.0017673268037681211,0.003964368034811372,0.9368861680439509,0.3158968671172995,0.6209893009266514
gpt2,4,8,-0.00021990607766575465,-0.0010479197782631289,-0.0006339129279644418,0.44063424263916817,0.22191324107424237,0.2187210015649258
gpt2,4,9,0.0035669663373161242,0.0017547607421875,0.002660863539751812,0.3656993344709053,0.20671642928963738,0.15898290518126793
gpt2,4,10,0.001494463752298003,-0.003186394186581065,-0.0008459652171415311,0.3254832162301055,0.20760283973170182,0.11788037649840369
gpt2,4,11,0.010203642003676627,0.008658914005054807,0.009431278004365717,0.4449648204541277,0.23318779133009404,0.21177702912403368
gpt2,5,0,-0.0012251910041358727,-0.0014127843520221894,-0.001318987678079031,0.36714178354146926,0.3200907290241195,0.047051054517349755
gpt2,5,1,-0.0014585607192092453,-0.0010676664464615016,-0.0012631135828353734,-0.2519233032432152,-0.22762051846115128,-0.024302784782063935
gpt2,5,2,0.0009496352251838758,0.0015011955710018121,0.001225415398092844,0.39594656170743625,0.2391732772702435,0.15677328443719274
gpt2,5,3,0.0011116476619950078,-0.004063774557674815,-0.0014760634478399037,0.40014418377455074,0.2702844544540074,0.12985972932054335
gpt2,5,4,0.00052642822265625,-2.5580911075628876e-05,0.00025042365579031056,0.2727557659989214,0.12356399779428288,0.14919176820463848
gpt2,5,5,0.005959903492646745,0.002835442038143121,0.004397672765394933,0.4183372258414559,0.41054055181688026,0.007796674024575623
gpt2,5,6,0.006681105669807508,0.0051866419175090606,0.005933873793658284,0.34929918327964393,0.2807994119763464,0.06849977130329754
gpt2,5,7,0.003115485696231879,-0.0003549912396598742,0.0013802472282860023,0.35480228403425057,0.24413380550418104,0.11066847853006953
gpt2,5,8,0.0028116562787223742,2.8722426470562112e-05,0.0014201893525964682,0.08705973244746257,0.005598942469990722,0.08146078997747185
gpt2,5,9,0.004641364602481879,0.006750219008501812,0.0056957918054918455,0.38484171259771005,0.3512659649741716,0.03357574762353843
gpt2,5,10,0.008007722742417123,0.007349799661075185,0.007678761201746154,0.5410775784483335,0.3131684123854529,0.22790916606288059
gpt2,5,11,0.0033753338982078773,0.0050129609949447484,0.004194147446576313,0.6701937744235037,0.2775087423315868,0.3926850320919169
gpt2,6,0,0.004452873678768121,0.0007131239947151258,0.0025829988367416234,0.4747571565603721,0.23946346308537492,0.23529369347499718
gpt2,6,1,-0.00039627972771150155,-0.001038495232077441,-0.0007173874798944713,0.3214541972709201,0.14653925140789248,0.17491494586302764
gpt2,6,2,0.004381067612592382,0.000617083381203809,0.0024990754968980955,0.29287755351318834,0.28358642394820444,0.009291129564983902
gpt2,6,3,0.0016896864947151258,-0.001372393439798003,0.00015864652745856134,0.38062644157696135,0.2541362924214532,0.12649014915550816
gpt2,6,4,0.0001611148609832469,-0.0017430922564338758,-0.0007909886977253144,0.4655613274300922,0.3270018539590283,0.1385594734710639
gpt2,6,5,0.0037271836224723742,0.0011408188763786242,0.0024340012494254992,0.5744559179308841,0.18615069174528892,0.3883052261855952
gpt2,6,6,0.014227923224954253,0.008290459127986871,0.011259191176470562,0.7050205710216045,0.32085252393613845,0.3841680470854661
gpt2,6,7,0.0013688031364891273,0.00011668485753668634,0.0007427439970129068,0.4640041523050781,0.2473740630917197,0.21663008921335838
gpt2,6,8,0.0007642858168654953,0.0009487376493564348,0.0008565117331109651,0.49157811815904795,0.25059034078453474,0.2409877773745132
gpt2,6,9,0.005627351648667123,0.0031074075137866863,0.0043673795812269045,0.2148041197329834,0.18836448453096843,0.026439635202014977
gpt2,6,10,-0.0022425932042740016,-0.0036580702837776258,-0.0029503317440258137,0.4013314123077675,0.2461623738532047,0.15516903845456279
gpt2,6,11,0.0023570341222427516,0.0022695204790901258,0.0023132773006664387,0.37496926351051274,0.18373383077264258,0.19123543273787016
gpt2,7,0,0.0006695915670960062,-0.0003119075999542531,0.00017884198357087655,0.43117889107964785,0.22230285261947155,0.2088760384601763
gpt2,7,1,-0.002550910500919379,-0.0004474415498623152,-0.001499176025390847,0.49133948568351615,0.3132458738489619,0.17809361183455424
gpt2,7,2,-0.0003729427562042531,0.004336188821231435,0.001981623032513591,0.2562232508076973,0.22896646040045543,0.027256790407241882
gpt2,7,3,0.0033762314740348742,-0.00015887092141575465,0.0016086802763095598,0.4868135405901542,0.19953866428703035,0.28727487630312387
gpt2,7,4,0.00017412971047825465,0.0009119370404411242,0.0005430333754596894,0.44384561214069235,0.26550724168314127,0.17833837045755108
gpt2,7,5,0.00013014849494474845,0.001219805549172559,0.0006749770220586537,0.4935945508295577,0.31924612397397945,0.17434842685557828
gpt2,7,6,0.006883509018842382,0.0056309419519759984,0.00625722548540919,0.4672274137957602,0.38525569360723466,0.08197172018852555
gpt2,7,7,0.00030562456916349845,0.00041961669921875,0.0003626206341911242,0.4004758931738613,0.2652582217312643,0.135217671442597
gpt2,7,8,0.0002831851734832469,0.0014513801125919379,0.0008672826430375924,0.5045981525854987,0.24504328303546305,0.2595548695500356
gpt2,7,9,-0.0012108297909003696,-0.0030495138729320637,-0.0021301718319162166,0.31369879371799775,0.16976490994405471,0.14393388377394303
gpt2,7,10,0.001664105583639497,-0.0002611945657169379,0.0007014555089612795,0.37747322504048286,0.35325877150530804,0.024214453535174818
gpt2,7,11,0.006024977740120008,0.002265032599953809,0.004145005170036908,0.20660871217450746,0.16729641905458734,0.03931229311992013
gpt2,8,0,-3.5454245174371124e-05,-0.0024925680721508137,-0.0012640111586625924,0.43250304020638036,0.2931282944392346,0.13937474576714576
gpt2,8,1,0.0012700697954963758,0.0009855382582717453,0.0011278040268840606,0.30689580376986547,0.2395951555122973,0.06730064825756818
gpt2,8,2,0.01177439970128713,0.008112290326286686,0.009943345013786908,0.3496884736599442,0.2966961688855137,0.05299230477443051
gpt2,8,3,0.0009420058306526258,0.0038712445427386832,0.0024066251866956545,0.4055173638130511,0.3357535201714002,0.06976384364165089
gpt2,8,4,0.0008594288545493711,0.0007135727826286242,0.0007865008185889977,0.44518132981467734,0.25410406932709567,0.19107726048758167
gpt2,8,5,0.0037769990808822484,0.0032963472254134984,0.0035366731531478734,0.5742305149935873,0.3335992730705236,0.24063124192306373
gpt2,8,6,0.0019612031824447484,9.110394646105746e-05,0.001026153564452903,0.46592511361395467,0.28719597718293577,0.1787291364310189
gpt2,8,7,0.003744237563189756,0.001786175896139497,0.0027652067296646266,0.5449132575334007,0.24238473080706277,0.3025285267263379
gpt2,8,8,0.0008491067325371304,0.0030418844784003696,0.00194549560546875,0.5355714338860814,0.37060283608198336,0.16496859780409806
gpt2,8,9,0.0004559685202210062,0.0010129143210018121,0.0007344414206114092,0.516901612486342,0.31189183516812924,0.2050097773182128
gpt2,8,10,0.003089007209329253,0.0008441700654868711,0.001966588637408062,0.6475166175147452,0.33794235374658316,0.30957426376816205
gpt2,8,11,0.0005219403435203773,-0.00027241426355706366,0.00012476303998165683,0.321649373188515,0.24118856279594905,0.08046081039256595
gpt2,9,0,0.0016075583065262578,0.0029341753791358727,0.002270866842831065,0.4556101526517329,0.2767653514829797,0.17884480116875318
gpt2,9,1,0.0004932179170493711,0.0013423246495860575,0.0009177712833177143,0.36275742730760263,0.34245095607183,0.020306471235772616
gpt2,9,2,0.0025841208065262578,0.0003949333639705621,0.00148952708524841,0.4665538978567336,0.3413639414303622,0.12518995642637143
gpt2,9,3,-0.0005237354951743711,0.0018629186293654953,0.0006695915670955621,0.7056108618339214,0.41214985007846894,0.29346101175545247
gpt2,9,4,-0.00048289579503624225,-0.0018485574161308804,-0.0011657266055835613,0.3106207994212575,0.26758705845678404,0.04303374096447343
