model,docs_per_half,replicate,rank_agreement,n_heads
EleutherAI/pythia-1.4b,2,0,0.12774830285872735,384
EleutherAI/pythia-1.4b,2,1,0.10225895188362552,384
EleutherAI/pythia-1.4b,2,2,0.14691749956117459,384
EleutherAI/pythia-1.4b,4,0,0.2757891141854616,384
EleutherAI/pythia-1.4b,4,1,0.26207141512528465,384
EleutherAI/pythia-1.4b,4,2,0.2644423578848602,384
EleutherAI/pythia-1.4b,8,0,0.47994226203687135,384
EleutherAI/pythia-1.4b,8,1,0.5078550195168161,384
EleutherAI/pythia-1.4b,8,2,0.40498671363298994,384
EleutherAI/pythia-1.4b,16,0,0.594892953547908,384
EleutherAI/pythia-1.4b,16,1,0.5572742948257249,384
EleutherAI/pythia-1.4b,16,2,0.6115473052979788,384
EleutherAI/pythia-1.4b,32,0,0.7342908749106084,384
EleutherAI/pythia-1.4b,32,1,0.6146330577495671,384
EleutherAI/pythia-1.4b,32,2,0.7234574923676536,384
EleutherAI/pythia-2.8b,2,0,0.08685154121459443,1024
EleutherAI/pythia-2.8b,2,1,0.005653716554022348,1024
EleutherAI/pythia-2.8b,2,2,0.1741583263877789,1024
EleutherAI/pythia-2.8b,4,0,0.1426521396549552,1024
EleutherAI/pythia-2.8b,4,1,0.025829038863344186,1024
EleutherAI/pythia-2.8b,4,2,0.10650379964070546,1024
EleutherAI/pythia-2.8b,8,0,0.20869887374347287,1024
EleutherAI/pythia-2.8b,8,1,0.1324974190767161,1024
EleutherAI/pythia-2.8b,8,2,0.4617674003464809,1024
EleutherAI/pythia-2.8b,16,0,0.3704128380001827,1024
EleutherAI/pythia-2.8b,16,1,0.20065712176282471,1024
EleutherAI/pythia-2.8b,16,2,0.4567580295991571,1024
EleutherAI/pythia-2.8b,32,0,0.6514378567828919,1024
EleutherAI/pythia-2.8b,32,1,0.6123742503001661,1024
EleutherAI/pythia-2.8b,32,2,0.6126756403118603,1024
