run_id,experiment,arm,seed,size,status,duration_s,note,git_sha,final_val_loss,final_val_ppl,loss_at_step0,tokens_seen,steps,wall_seconds,tokens_per_sec,learned_alpha,n_params,n_params_non_embedding,device,history
08e96c2b9f50,factorial,baseline,2024,S,completed,2363.903737783432,,279351804c5b2bf2f83411c775b15ba9e409c931,3.8013417754994063,44.76120370459729,10.90854024887085,399900672,3051,2363.005327939987,169233.92735158326,"{""layer_0"":[],""layer_1"":[],""layer_2"":[],""layer_3"":[],""layer_4"":[],""layer_5"":[],""layer_6"":[],""layer_7"":[]}",50930176,25165824,cuda,[]
242ad2e16b94,factorial,xsa,2024,S,completed,2623.9274389743805,,279351804c5b2bf2f83411c775b15ba9e409c931,3.797576544714756,44.59298433356452,10.90854024887085,399900672,3051,2622.9612288475037,152461.5261567215,"{""layer_0"":[0.6244469881057739,0.6387465000152588,0.23883089423179626,0.6573514342308044,0.4229732155799866,0.1877714842557907,0.4792598485946655,0.5664094686508179],""layer_1"":[0.43855470418930054,0.1870214343070984,0.16374054551124573,0.44617336988449097,0.24291856586933136,0.16622519493103027,0.3683776259422302,0.4069395959377289],""layer_2"":[-0.07529076933860779,0.20840872824192047,0.28213804960250854,0.23077072203159332,0.25440168380737305,0.19463802874088287,0.34847739338874817,-0.0119877178221941],""layer_3"":[0.3177911043167114,0.1873425841331482,0.4225412607192993,0.2678264379501343,-0.13911955058574677,0.054541993886232376,-0.029226548969745636,0.2137802690267563],""layer_4"":[0.08661602437496185,0.13769766688346863,0.13027025759220123,0.5858088731765747,0.38838106393814087,0.38691896200180054,0.3448082208633423,0.112904854118824],""layer_5"":[0.4304255247116089,0.32696908712387085,0.14943844079971313,0.21550236642360687,0.24752981960773468,0.3263961672782898,0.3487652838230133,0.3491547405719757],""layer_6"":[0.25656601786613464,0.3633589446544647,0.2792342007160187,0.24476610124111176,0.082848459482193,0.437725692987442,0.44384878873825073,0.15631726384162903],""layer_7"":[0.5350102782249451,0.46217429637908936,0.4152813255786896,0.21485891938209534,0.40648871660232544,0.17596353590488434,0.151249960064888,0.22368265688419342]}",50930240,25165824,cuda,[]
3a3bf9fa6320,factorial,random,42,S,completed,2570.371977329254,,279351804c5b2bf2f83411c775b15ba9e409c931,3.8012294109727516,44.756174415692655,10.935888290405273,399900672,3051,2569.3487763404846,155642.81333948646,"{""layer_0"":[0.26882436871528625,0.19861994683742523,0.29909446835517883,0.20811070501804352,0.19430063664913177,0.1679125875234604,0.18414461612701416,0.19660688936710358],""layer_1"":[-0.019816141575574875,0.0054385121911764145,0.10048887133598328,0.1029372438788414,0.09028317779302597,0.10647635906934738,0.061715394258499146,0.07368668913841248],""layer_2"":[0.014341406524181366,0.040270671248435974,0.016190387308597565,0.03366650268435478,0.061451077461242676,0.05322087183594704,0.03728754073381424,0.05339039862155914],""layer_3"":[0.012464728206396103,0.007594900671392679,0.01620648428797722,-0.046334438025951385,0.007415564730763435,-0.027467988431453705,-0.02057190239429474,0.043276503682136536],""layer_4"":[0.028368929401040077,-0.025962691754102707,0.052950482815504074,0.024611981585621834,-0.024577545002102852,-0.11544421315193176,0.02063727378845215,0.009004627354443073],""layer_5"":[0.002616174751892686,-0.009067459031939507,0.024995826184749603,-0.17907169461250305,-0.03026357851922512,-0.1568136364221573,-0.06412862241268158,-0.031082574278116226],""layer_6"":[0.01908351480960846,0.001624997123144567,-0.043846216052770615,-0.07266060262918472,-0.01163936872035265,-0.00615655304864049,0.02266046777367592,0.0020304510835558176],""layer_7"":[-0.03679312765598297,-0.022305183112621307,-0.023562338203191757,-0.05666368827223778,-0.022086765617132187,-0.03574511781334877,-0.036527447402477264,-0.06370154768228531]}",50930240,25165824,cuda,[]
3c28e14a8aab,factorial,xsa,42,S,completed,2631.7012815475464,,279351804c5b2bf2f83411c775b15ba9e409c931,3.7996434222479336,44.685247886907995,10.935888290405273,399900672,3051,2630.814337491989,152006.42109212227,"{""layer_0"":[0.16814923286437988,0.6577212810516357,0.5085121393203735,0.38746240735054016,0.38680922985076904,0.516659140586853,0.6542572975158691,0.2722238600254059],""layer_1"":[0.36592167615890503,0.3415391445159912,0.15574996173381805,0.2580617070198059,0.3254378139972687,-0.009738913737237453,0.31883805990219116,0.06879889965057373],""layer_2"":[0.27998483180999756,-0.08325757086277008,0.03127970173954964,0.31469157338142395,0.2425948530435562,0.1417027711868286,0.36621302366256714,0.24002715945243835],""layer_3"":[0.31864413619041443,0.023086905479431152,-0.1434158980846405,0.4526212811470032,0.3393099009990692,0.13596603274345398,0.21074768900871277,-0.02027847245335579],""layer_4"":[0.10043837875127792,0.36044132709503174,0.09733734279870987,0.059953946620225906,0.377219021320343,0.4536423981189728,0.1856469064950943,0.25273585319519043],""layer_5"":[0.3482566177845001,0.23102566599845886,0.12070184201002121,0.27841925621032715,0.17762397229671478,0.5163602828979492,0.4209245443344116,0.18169279396533966],""layer_6"":[0.15358932316303253,0.3846092224121094,0.48614946007728577,0.46057572960853577,0.305413156747818,0.2262570858001709,0.24138452112674713,0.2508050203323364],""layer_7"":[0.32654738426208496,0.31033065915107727,0.40761798620224,0.39368999004364014,0.25517046451568604,0.41902562975883484,0.3430931568145752,0.4345880448818207]}",50930240,25165824,cuda,[]
49ee127d06b0,factorial,baseline,512,S,completed,2377.5397984981537,,279351804c5b2bf2f83411c775b15ba9e409c931,3.7954509341325915,44.49829768329897,10.90080213546753,399900672,3051,2376.601933479309,168265.73536214855,"{""layer_0"":[],""layer_1"":[],""layer_2"":[],""layer_3"":[],""layer_4"":[],""layer_5"":[],""layer_6"":[],""layer_7"":[]}",50930176,25165824,cuda,[]
51c541f2cc2d,factorial,baseline,7,S,completed,2363.664491891861,,279351804c5b2bf2f83411c775b15ba9e409c931,3.795158182988401,44.48527266237557,10.951727390289307,399900672,3051,2362.7776548862457,169250.2344319203,"{""layer_0"":[],""layer_1"":[],""layer_2"":[],""layer_3"":[],""layer_4"":[],""layer_5"":[],""layer_6"":[],""layer_7"":[]}",50930176,25165824,cuda,[]
54b8016f732f,factorial,baseline,99,S,completed,2372.5426614284515,,279351804c5b2bf2f83411c775b15ba9e409c931,3.794118246094125,44.43903483246173,10.936638832092285,399900672,3051,2371.6103208065033,168619.89024571603,"{""layer_0"":[],""layer_1"":[],""layer_2"":[],""layer_3"":[],""layer_4"":[],""layer_5"":[],""layer_6"":[],""layer_7"":[]}",50930176,25165824,cuda,[]
8056974b1b76,factorial,random,99,S,completed,2498.5167207717896,,279351804c5b2bf2f83411c775b15ba9e409c931,3.796390988299104,44.540148161214994,10.936638832092285,399900672,3051,2497.629590511322,160112.081278686,"{""layer_0"":[0.22179429233074188,0.20225495100021362,0.18581433594226837,0.2680927515029907,0.19825762510299683,0.21395859122276306,0.20046989619731903,0.17202219367027283],""layer_1"":[0.06584944576025009,0.10857502371072769,0.10410333424806595,0.08163060992956161,-0.019425464794039726,0.03309789299964905,0.0652812272310257,0.016335826367139816],""layer_2"":[0.042811039835214615,0.02640819363296032,0.08531345427036285,0.04334421083331108,0.061724890023469925,0.061784107238054276,0.06259910017251968,0.07489626854658127],""layer_3"":[-0.0024425401352345943,0.04509279876947403,0.025523990392684937,0.06830481439828873,0.029454465955495834,0.052045829594135284,0.021708056330680847,0.013832434080541134],""layer_4"":[0.007469234522432089,0.013243881054222584,-0.04460260644555092,0.03174109384417534,0.03552509471774101,-0.04112652689218521,0.005175530910491943,0.016947176307439804],""layer_5"":[-0.05820785090327263,-0.10214803367853165,-0.013184132985770702,-0.005423558410257101,-0.02101142518222332,0.02452663704752922,-0.03223195672035217,-0.12274159491062164],""layer_6"":[0.01121839415282011,-0.056434426456689835,-0.0012089338852092624,-0.03908292204141617,-0.03143817186355591,0.007350916974246502,0.022208519279956818,-0.039320606738328934],""layer_7"":[-0.2027311623096466,-0.04517640918493271,-0.0037329369224607944,-0.24713134765625,-0.07091245800256729,-0.19810850918293,-0.0516485758125782,0.0013882791390642524]}",50930240,25165824,cuda,[]
930cc52ae3c4,factorial,random,1337,S,completed,2480.3713471889496,,279351804c5b2bf2f83411c775b15ba9e409c931,3.796327301713287,44.537311641571904,10.93050765991211,399900672,3051,2479.4777507781982,161284.23490571306,"{""layer_0"":[0.26781708002090454,0.20730054378509521,0.20742349326610565,0.21223200857639313,0.20287513732910156,0.15695753693580627,0.17676076292991638,0.26965680718421936],""layer_1"":[0.057796359062194824,0.0483725406229496,0.06357565522193909,0.09180726110935211,0.06360770016908646,0.08908570557832718,-0.0026171556673943996,0.04472440481185913],""layer_2"":[0.028829796239733696,0.09360523521900177,0.021689703688025475,-0.006498067174106836,0.05498109757900238,0.09081055968999863,0.051142215728759766,0.03382834419608116],""layer_3"":[0.052190206944942474,0.04225190728902817,0.0440978929400444,0.052902691066265106,0.032733965665102005,0.03652912378311157,0.039432134479284286,0.009664192795753479],""layer_4"":[-0.03558054193854332,0.026912393048405647,0.039967287331819534,-0.007204700727015734,0.021530745550990105,0.04354797303676605,-0.006916801445186138,-0.03955092653632164],""layer_5"":[-0.05478409305214882,-0.13529661297798157,0.020053714513778687,-0.027328278869390488,-0.035617560148239136,-0.026302846148610115,-0.0006736124632880092,-0.14777113497257233],""layer_6"":[0.0013831626856699586,0.0003088464436586946,0.02068467251956463,-0.03488857299089432,0.002453713910654187,0.007654765620827675,0.02359163574874401,-0.03552749380469322],""layer_7"":[-0.009461157023906708,-0.0626152977347374,-0.026233691722154617,-0.16244342923164368,-0.08924850821495056,-0.05146751552820206,-0.04787713661789894,-0.2623586654663086]}",50930240,25165824,cuda,[]
95600622a728,factorial,xsa,1337,S,completed,2618.840678215027,,279351804c5b2bf2f83411c775b15ba9e409c931,3.7946485491072544,44.46260723623988,10.93050765991211,399900672,3051,2617.8755724430084,152757.7078947307,"{""layer_0"":[0.6570302844047546,0.6311084032058716,0.2277485877275467,0.34316542744636536,0.5895782709121704,0.6411053538322449,0.36327478289604187,0.4372876286506653],""layer_1"":[0.37788647413253784,0.22083400189876556,0.13951413333415985,-0.005061730742454529,0.2046131193637848,0.021746927872300148,0.3388535976409912,0.41723066568374634],""layer_2"":[0.20604978501796722,0.07974603772163391,0.20254334807395935,0.34034013748168945,-0.07926246523857117,0.08510054647922516,0.2680412232875824,0.2282305359840393],""layer_3"":[0.3021913766860962,0.0678582414984703,0.0882873684167862,0.033907607197761536,0.12761840224266052,-0.043167948722839355,0.10291365534067154,0.31169217824935913],""layer_4"":[0.3352341055870056,0.07136180251836777,0.2206641137599945,0.2213512510061264,0.1844208836555481,0.24400654435157776,0.34797194600105286,0.4638626277446747],""layer_5"":[0.40304121375083923,0.43107733130455017,0.19445596635341644,0.3903648555278778,0.33014026284217834,0.2469211220741272,0.18551824986934662,0.29603829979896545],""layer_6"":[0.3700461685657501,0.36252567172050476,0.24899476766586304,0.29013368487358093,0.24043028056621552,0.2617521286010742,0.13009735941886902,0.18346266448497772],""layer_7"":[0.2913191318511963,0.4208749532699585,0.26172149181365967,0.5114856958389282,0.4381762146949768,0.23797953128814697,0.15039141476154327,0.37276971340179443]}",50930240,25165824,cuda,[]
