variant,block,cos_self,cos_null,excess,matches_reference
length,64,0.4954637813130426,0.3799101515852878,0.11555362972775479,False
length,128,0.4902401236823708,0.3419331140981462,0.1483070095842246,False
length,256,0.4862476194030023,0.31565735205471257,0.17059026734828975,False
length,512,0.4832291258575828,0.3018373632585786,0.18139176259900425,False
length,1024,0.4827253733977462,0.2992323533695374,0.18349302002820878,False
include position 0,512,0.4846725145612759,0.3037722167768556,0.1809002977844203,False
null: any j in sequence,512,0.4832291258575828,0.265035845425855,0.2181932804317278,False
null: token from another sequence,512,0.4832291258575828,0.04434643454106604,0.4388826913165168,False
pool heads before averaging,512,0.48322913081695634,0.3018373673548922,0.18139176346206415,False
layers: first half,512,0.5259254053776709,0.32438137370981696,0.2015440316678539,False
layers: second half,512,0.44053284633749473,0.27962392857039553,0.1609089177670992,False
layers: layer 0 only,512,0.6494163369449476,0.3283798794921798,0.3210364574527678,False
layers: last layer only,512,0.5148436864838004,0.41375693267521757,0.10108675380858284,False
