model,layer,head,cos_self,cos_null,excess,n,kv_group,n_kv_heads,cos_across_group,status,run_id
gpt2,0,0,0.5249903378683409,0.5126176597436892,0.012372678124651704,13781,0,12,nan,completed,7600d12b0536
gpt2,0,1,0.995689193086193,0.17829590307910342,0.8173932900070895,13781,1,12,nan,completed,7600d12b0536
gpt2,0,2,0.5534995859897837,0.4704520134741408,0.08304757251564288,13781,2,12,nan,completed,7600d12b0536
gpt2,0,3,0.9791689791343795,0.2573914643149346,0.721777514819445,13781,3,12,nan,completed,7600d12b0536
gpt2,0,4,0.8708694489215744,0.20979620821245104,0.6610732407091233,13781,4,12,nan,completed,7600d12b0536
gpt2,0,5,0.9552540388824666,0.31341939060357926,0.6418346482788874,13781,5,12,nan,completed,7600d12b0536
gpt2,0,6,0.23584928633252436,0.14175812016179953,0.09409116617072483,13781,6,12,nan,completed,7600d12b0536
gpt2,0,7,0.48920368731836256,0.24238288048461235,0.2468208068337502,13781,7,12,nan,completed,7600d12b0536
gpt2,0,8,0.5064400028023562,0.34393285125245526,0.16250715154990097,13781,8,12,nan,completed,7600d12b0536
gpt2,0,9,0.5594899803207183,0.4128250369521028,0.14666494336861546,13781,9,12,nan,completed,7600d12b0536
gpt2,0,10,0.7222356448102332,0.3817201894479308,0.3405154553623024,13781,10,12,nan,completed,7600d12b0536
gpt2,0,11,0.3999480522262444,0.4571417880114463,-0.05719373578520187,13781,11,12,nan,completed,7600d12b0536
gpt2,1,0,0.5368405144915483,0.3799607724787041,0.15687974201284427,13781,0,12,nan,completed,7600d12b0536
gpt2,1,1,0.5510304112501773,0.379812687736961,0.1712177235132163,13781,1,12,nan,completed,7600d12b0536
gpt2,1,2,0.7082043354900339,0.5386819887260248,0.16952234676400912,13781,2,12,nan,completed,7600d12b0536
gpt2,1,3,0.7866173362223298,0.7738815279909715,0.012735808231358225,13781,3,12,nan,completed,7600d12b0536
gpt2,1,4,0.7165917852115894,0.4995508546514018,0.21704093056018758,13781,4,12,nan,completed,7600d12b0536
gpt2,1,5,0.6402026758540886,0.27390544139715073,0.3662972344569379,13781,5,12,nan,completed,7600d12b0536
gpt2,1,6,0.5421152536721946,0.36506260119592154,0.17705265247627305,13781,6,12,nan,completed,7600d12b0536
gpt2,1,7,0.43074598578758083,0.3531071020955348,0.07763888369204602,13781,7,12,nan,completed,7600d12b0536
gpt2,1,8,0.4228767384538748,0.4069534234460082,0.01592331500786659,13781,8,12,nan,completed,7600d12b0536
gpt2,1,9,0.3333298419075766,0.40887115721827144,-0.07554131531069486,13781,9,12,nan,completed,7600d12b0536
gpt2,1,10,0.6341891852078678,0.6209492410502921,0.013239944157575678,13781,10,12,nan,completed,7600d12b0536
gpt2,1,11,0.977206414117928,0.3083276256440748,0.6688787884738532,13781,11,12,nan,completed,7600d12b0536
gpt2,2,0,0.6250141998777956,0.5354568195112921,0.08955738036650351,13781,0,12,nan,completed,7600d12b0536
gpt2,2,1,0.3735064106198615,0.29308589570669874,0.08042051491316277,13781,1,12,nan,completed,7600d12b0536
gpt2,2,2,0.39350324564445155,0.28362634677788384,0.10987689886656771,13781,2,12,nan,completed,7600d12b0536
gpt2,2,3,0.6083621877232697,0.4999061192850601,0.10845606843820954,13781,3,12,nan,completed,7600d12b0536
gpt2,2,4,0.4865061253557738,0.42612354562047533,0.06038257973529848,13781,4,12,nan,completed,7600d12b0536
gpt2,2,5,0.5501161508943906,0.43100821993910937,0.11910793095528122,13781,5,12,nan,completed,7600d12b0536
gpt2,2,6,0.6528623811654624,0.5632534701252535,0.08960891104020885,13781,6,12,nan,completed,7600d12b0536
gpt2,2,7,0.8135401697625408,0.4396326087004924,0.3739075610620484,13781,7,12,nan,completed,7600d12b0536
gpt2,2,8,0.5666375703614036,0.4921462036945957,0.07449136666680789,13781,8,12,nan,completed,7600d12b0536
gpt2,2,9,0.5869593397592485,0.4649157313273567,0.12204360843189183,13781,9,12,nan,completed,7600d12b0536
gpt2,2,10,0.795209533720722,0.48231588055549934,0.31289365316522266,13781,10,12,nan,completed,7600d12b0536
gpt2,2,11,0.7796347007597663,0.5676172915162029,0.21201740924356338,13781,11,12,nan,completed,7600d12b0536
gpt2,3,0,0.6641877825339921,0.33885629705064285,0.3253314854833493,13781,0,12,nan,completed,7600d12b0536
gpt2,3,1,0.4612873850546966,0.36046864313151217,0.10081874192318441,13781,1,12,nan,completed,7600d12b0536
gpt2,3,2,0.5047894374617511,0.36534270745303726,0.13944673000871383,13781,2,12,nan,completed,7600d12b0536
gpt2,3,3,0.38666616590251807,0.25989974261353266,0.1267664232889854,13781,3,12,nan,completed,7600d12b0536
gpt2,3,4,0.4745154415796092,0.3778577876053806,0.0966576539742286,13781,4,12,nan,completed,7600d12b0536
gpt2,3,5,0.39088401753556534,0.20091425590525142,0.18996976163031393,13781,5,12,nan,completed,7600d12b0536
gpt2,3,6,0.5572885455988389,0.3802128888907113,0.17707565670812758,13781,6,12,nan,completed,7600d12b0536
gpt2,3,7,0.5106484205292581,0.38419976653099697,0.1264486539982611,13781,7,12,nan,completed,7600d12b0536
gpt2,3,8,0.4885850154204347,0.38426605647117484,0.10431895894925985,13781,8,12,nan,completed,7600d12b0536
gpt2,3,9,0.43891446688287983,0.30098676462620305,0.13792770225667678,13781,9,12,nan,completed,7600d12b0536
gpt2,3,10,0.765946007056144,0.17845091324083562,0.5874950938153084,13781,10,12,nan,completed,7600d12b0536
gpt2,3,11,0.5364322581979468,0.42229789392332323,0.11413436427462359,13781,11,12,nan,completed,7600d12b0536
gpt2,4,0,0.3188761639205668,0.20862220498716452,0.11025395893340226,13781,0,12,nan,completed,7600d12b0536
gpt2,4,1,0.414593849129383,0.25952771245249906,0.15506613667688396,13781,1,12,nan,completed,7600d12b0536
gpt2,4,2,0.29794364956992736,0.21394940535132081,0.08399424421860655,13781,2,12,nan,completed,7600d12b0536
gpt2,4,3,0.463471607619822,0.2652438235825977,0.1982277840372243,13781,3,12,nan,completed,7600d12b0536
gpt2,4,4,0.5055721693068963,0.13871281740423388,0.3668593519026624,13781,4,12,nan,completed,7600d12b0536
gpt2,4,5,0.35303261033311145,0.19401548129640098,0.15901712903671048,13781,5,12,nan,completed,7600d12b0536
gpt2,4,6,0.37493366703218145,0.13426952305243658,0.24066414397974487,13781,6,12,nan,completed,7600d12b0536
gpt2,4,7,0.9393311403835038,0.2918285930490576,0.6475025473344462,13781,7,12,nan,completed,7600d12b0536
