model,docs_per_half,replicate,rank_agreement,n_heads
gpt2,2,0,0.3557856641204916,144
gpt2,2,1,0.26851137368378747,144
gpt2,2,2,0.4076280041797283,144
gpt2,4,0,0.22971046309639348,144
gpt2,4,1,0.445370147094285,144
gpt2,4,2,0.3428301583473997,144
gpt2,8,0,0.5399967848243711,144
gpt2,8,1,0.46550766167098256,144
gpt2,8,2,0.40864480347238974,144
gpt2,16,0,0.5600755566272808,144
gpt2,16,1,0.5652479704203842,144
gpt2,16,2,0.6287262164682625,144
gpt2,32,0,0.6434410417169037,144
gpt2,32,1,0.7392226091619483,144
gpt2,32,2,0.7482597861908207,144
EleutherAI/pythia-160m,2,0,-0.04544248854593683,144
EleutherAI/pythia-160m,2,1,0.12357527529941323,144
EleutherAI/pythia-160m,2,2,-0.036942367976850736,144
EleutherAI/pythia-160m,4,0,0.07498995257615948,144
EleutherAI/pythia-160m,4,1,0.02969214693352625,144
EleutherAI/pythia-160m,4,2,0.0729000884173298,144
EleutherAI/pythia-160m,8,0,0.22998151274013343,144
EleutherAI/pythia-160m,8,1,0.1317056506711679,144
EleutherAI/pythia-160m,8,2,-0.11189213085764808,144
EleutherAI/pythia-160m,16,0,0.257716421509525,144
EleutherAI/pythia-160m,16,1,0.24566353187042844,144
EleutherAI/pythia-160m,16,2,0.2696728558797524,144
EleutherAI/pythia-160m,32,0,0.3359617394100153,144
EleutherAI/pythia-160m,32,1,0.3260509605337192,144
EleutherAI/pythia-160m,32,2,0.3371794871794872,144
EleutherAI/pythia-410m,2,0,0.21801651351259707,384
EleutherAI/pythia-410m,2,1,0.24499075168010784,384
EleutherAI/pythia-410m,2,2,0.18329109851793254,384
EleutherAI/pythia-410m,4,0,-0.02662252890712421,384
EleutherAI/pythia-410m,4,1,0.149341226419778,384
EleutherAI/pythia-410m,4,2,0.18269865079063616,384
EleutherAI/pythia-410m,8,0,0.299113500729036,384
EleutherAI/pythia-410m,8,1,0.2056170956411603,384
EleutherAI/pythia-410m,8,2,0.1303556731667797,384
EleutherAI/pythia-410m,16,0,0.11109194330473704,384
EleutherAI/pythia-410m,16,1,0.31307436093578983,384
EleutherAI/pythia-410m,16,2,0.07492794808839721,384
EleutherAI/pythia-410m,32,0,0.18921027756403874,384
EleutherAI/pythia-410m,32,1,0.37972285928985056,384
EleutherAI/pythia-410m,32,2,0.0739270070703249,384
